Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,PA_Parvimonas micra,PA,Parvimonas micra,0.02793366248380406,-0.0006931575189980939,1
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.01636356845310246,-0.011241997801518952,2
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.015870937889868965,-0.00026473929541456396,3
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.014253292144383988,-0.003909208362423665,4
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.012372311667906491,-0.00814051868248667,5
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.011577848947523669,-0.004090863742501083,6
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.0114450861491796,0.0008375308386625412,7
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.010339822795775978,0.0034266594895602212,8
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.010019444033825202,-0.0003989999156842942,9
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.009438892594903669,-0.001116588791827518,10
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.009169152077664893,-0.0023186032241537913,11
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.008612255818246563,0.005293279679838977,12
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Bifidobacterium pseudocatenulatum,rCLR,Bifidobacterium pseudocatenulatum,0.007047380110950289,0.004610261642098184,13
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Oscillibacter sp. 57_20,rCLR,Oscillibacter sp. 57_20,0.006396993527725322,0.003910667118219429,14
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.006179336073885899,0.00508848100803836,15
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.00612421900783957,-5.6223788580250524e-05,16
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.006111180768378765,0.0017280677271337241,17
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_[Eubacterium] rectale,rCLR,[Eubacterium] rectale,0.005449915871038227,-0.0012192217120972073,18
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.005331157580757499,-0.00028707047973331677,19
OnlyMale,RandomForest,WirbelJ_2018,0.8344594594594594,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.005307103845537599,-0.004189269152731963,20
