contrast,group1_label,group0_label,n_group1,n_group0,feature,mean_group1,mean_group0,median_group1,median_group0,mean_diff_clr,median_diff_clr,abs_mean_diff,ranksum_stat,p_value,rank_biserial,fdr_bh,significant_fdr_0_05
CRC_vs_Control__within_Male,CRC_Male,Control_Male,489,501,Romboutsia,-2.685661778603605,-2.0892708977403536,-2.8762769814761797,-2.201407040799012,-0.5963908808632516,-0.6748699406771679,0.5963908808632516,-7.368940977918018,1.719887793100274e-13,-0.2705876590377527,1.5650978917212493e-11,True
CRC_vs_Control__within_Male,CRC_Male,Control_Male,489,501,Parvimonas,-1.0505797334439801,-2.1724682197313583,-1.3476276584002864,-2.403087965092402,1.1218884862873781,1.0554603066921158,1.1218884862873781,7.196864517556625,6.161292760436346e-13,0.2642690079962773,2.803388205998537e-11,True
CRC_vs_Control__within_Male,CRC_Male,Control_Male,489,501,Ruthenibacterium,1.8726818550270534,0.9873620587222794,2.1356865644147183,1.0328558161137589,0.885319796304774,1.1028307483009594,0.885319796304774,6.560137150017828,5.3758311579082746e-11,0.2408883664164514,1.63066878456551e-09,True
CRC_vs_Control__within_Male,CRC_Male,Control_Male,489,501,Turicibacter,-2.0633085319298083,-1.3068950173171847,-2.720653199704673,-1.755258497911404,-0.7564135146126236,-0.9653947017932687,0.7564135146126236,-5.786460041416217,7.188517652691118e-09,-0.21247892762532194,1.6353877659872294e-07,True
CRC_vs_Control__within_Male,CRC_Male,Control_Male,489,501,Fusobacterium,-0.22898089512627423,-1.3889647774211293,-0.9908090042479428,-2.1449231356854286,1.1599838822948552,1.1541141314374856,1.1599838822948552,5.648176374304089,1.6215876613437478e-08,0.2074011486229994,2.951289543645621e-07,True
CRC_vs_Control__within_Male,CRC_Male,Control_Male,489,501,Lachnospira,2.167761235434007,3.2399453882462357,2.9728607062533112,4.040758851573624,-1.0721841528122287,-1.0678981453203131,1.0721841528122287,-5.096597952913114,3.4581166812172654e-07,-0.1871471780365649,4.629365292846314e-06,True
CRC_vs_Control__within_Male,CRC_Male,Control_Male,489,501,Lactococcus,-2.294005864893908,-1.8062124849349923,-2.782181834078468,-2.2068169116943084,-0.4877933799589156,-0.5753649223841597,0.4877933799589156,-5.091039927707643,3.561050225266396e-07,-0.18694308724065167,4.629365292846314e-06,True
CRC_vs_Control__within_Male,CRC_Male,Control_Male,489,501,Faecalibacterium,4.608854653874491,5.355894782981178,5.397399657509428,5.672787806206275,-0.7470401291066873,-0.27538814869684636,0.7470401291066873,-4.834703805231304,1.3334402921039151e-06,-0.17753041973313088,1.5167883322682034e-05,True
CRC_vs_Control__within_Male,CRC_Male,Control_Male,489,501,Turicimonas,-2.2100742731486642,-1.7791670982579106,-2.6672091865707133,-1.9339355885497265,-0.4309071748907536,-0.7332735980209868,0.4309071748907536,-4.597931931478224,4.267053471764673e-06,-0.1688361518272249,4.314465177006503e-05,True
CRC_vs_Control__within_Male,CRC_Male,Control_Male,489,501,Peptostreptococcus,-1.5762735008564028,-2.3616077632304036,-2.000019832482642,-2.513387451418429,0.7853342623740007,0.5133676189357872,0.7853342623740007,4.471875919818134,7.753641399277467e-06,0.16420737257591167,7.055813673342495e-05,True
