Arrangement,Model,Species_clean,Species_key,Species_MaxSelectionFrequency,Species_MaxTopKSelectionFrequency,Species_SumMeanAbsNonZeroCoef,Species_BestConsensusRank,N_Selected_FeatureTypes,Any_CRC_Associated,Any_Control_Associated,PA_MeanAbsNonZeroCoef,rCLR_MeanAbsNonZeroCoef,PA_SelectionFrequency,rCLR_SelectionFrequency,Dominant_Signal,SpeciesRank,In_Phase3_1_BlockedWilcoxon_rCLR,In_Phase3_2_CMH_PA,In_Phase3_3_MetaAnalysis_rCLR,In_Any_Formal_Phase3,In_2plus_Formal_Phase3,N_Formal_Phase3_Supports,Species_clean_phase35,categories,is_early,is_late,is_progression,is_ordered_increasing,is_ordered_decreasing,best_trend_direction,best_trend_q
All,LASSO_LogisticRegression,Parvimonas micra,parvimonas micra,1.0,1.0,0.5385733329976946,1,2,True,False,0.5246377306865514,0.013935602311143162,1.0,0.2,PA,1,True,True,False,True,True,2,Parvimonas micra,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
All,LASSO_LogisticRegression,Streptococcus salivarius,streptococcus salivarius,1.0,1.0,0.1718544645580238,2,2,False,True,0.15567216969084174,0.01618229486718206,1.0,0.4,PA,2,False,True,False,True,False,1,Streptococcus salivarius,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
All,LASSO_LogisticRegression,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,1.0,1.0,0.1580655924890484,3,2,True,False,0.009820098783556443,0.14824549370549195,0.1,1.0,rCLR,3,True,False,True,True,True,2,Ruthenibacterium lactatiformans,LATE;ORDERED_INCREASING,False,True,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0
All,LASSO_LogisticRegression,Anaerostipes hadrus,anaerostipes hadrus,1.0,1.0,0.12926379436935048,4,2,False,True,0.0,0.12926379436935048,0.0,1.0,rCLR,4,True,False,True,True,True,2,Anaerostipes hadrus,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0
All,LASSO_LogisticRegression,Dorea formicigenerans,dorea formicigenerans,1.0,1.0,0.07924053931356574,6,2,True,False,0.0,0.07924053931356574,0.0,1.0,rCLR,5,True,False,False,True,False,1,Dorea formicigenerans,LATE;ORDERED_INCREASING,False,True,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0
All,LASSO_LogisticRegression,Odoribacter splanchnicus,odoribacter splanchnicus,1.0,1.0,0.06424283317382407,7,2,True,False,0.0,0.06424283317382407,0.0,1.0,rCLR,6,True,False,True,True,True,2,Odoribacter splanchnicus,LATE;PROGRESSION,False,True,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
All,LASSO_LogisticRegression,Roseburia intestinalis,roseburia intestinalis,1.0,0.9,0.06243050646547363,8,2,False,True,0.044510370556406255,0.01792013590906737,1.0,0.7,PA,7,True,True,False,True,True,2,Roseburia intestinalis,EARLY,True,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
All,LASSO_LogisticRegression,[Ruminococcus] torques,[ruminococcus] torques,0.9,0.9,0.09984408910639428,9,2,True,False,0.0,0.09984408910639428,0.0,0.9,rCLR,8,True,False,False,True,False,1,[Ruminococcus] torques,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
All,LASSO_LogisticRegression,Streptococcus thermophilus,streptococcus thermophilus,0.9,0.9,0.09568021315966502,11,2,False,True,0.014837834212151436,0.08084237894751357,0.2,0.9,rCLR,9,False,False,False,False,False,0,Streptococcus thermophilus,PROGRESSION,False,False,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
All,LASSO_LogisticRegression,Phocaeicola plebeius,phocaeicola plebeius,0.9,0.9,0.09054848811246383,10,2,True,False,0.09054848811246383,0.0,0.9,0.0,PA,10,False,True,False,True,False,1,Phocaeicola plebeius,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
All,LASSO_LogisticRegression,Flavonifractor plautii,flavonifractor plautii,0.9,0.8,0.08111539957342592,13,2,True,False,0.03183649929682739,0.04927890027659852,0.3,0.9,rCLR,11,False,False,True,True,False,1,Flavonifractor plautii,LATE;PROGRESSION,False,True,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
