Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.015855394911465134,0.00787918062195424,1
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.014899680327848953,-0.003359230277739546,2
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,PA_Parvimonas micra,PA,Parvimonas micra,0.014427815367969792,-0.006677849587024922,3
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.011589638642885963,0.004120543136841715,4
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.010988141670921126,-0.0025593497955175163,5
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.010810477583473347,0.0040930715203082585,6
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.009970122483509964,0.005422137527274154,7
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.008188404057558156,-0.0019960096974583554,8
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.006964001910945085,0.0044665591723941495,9
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.006870450650882419,-0.0003992766485122088,10
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.006819897294837881,0.0023106798199728795,11
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.006812305448661998,0.0008090802373446021,12
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.006106735955987471,0.0045802606749720505,13
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.005985396363804104,0.0015384924719587792,14
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.005914121511452512,-0.002782638778917907,15
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.0056273476974185825,0.001738111178375958,16
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.005622543073565882,0.0019456833252593014,17
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.005270078813283346,-0.0006043620035213044,18
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,Age,covariate,Age,0.005132479211894099,0.0015013016142478416,19
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.005026230314591419,-0.0029933284682751677,20
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.0048969282472186215,-0.0010358770924244003,21
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Veillonella atypica,rCLR,Veillonella atypica,0.004527105124715994,-0.000892668621208102,22
OnlyFemale,RandomForest,VogtmannE_2016,0.6644444444444444,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.004312263979754691,-0.0009638840237253913,23
