Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.029215734703673425,0.020715857049125565,1
All,RandomForest,ThomasAM_2018a,0.6982758620689655,PA_Parvimonas micra,PA,Parvimonas micra,0.026737970323143477,-0.017119231506514697,2
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.016121973397747468,0.01581224487095191,3
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.013505596260704971,0.009342750747407666,4
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.013426214986855997,0.011475769902677874,5
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.012731900914225588,-0.00019721830769178376,6
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.011112318951024117,-0.003194586510351144,7
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.00995983761217556,-0.005856083478347587,8
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.008915560102210772,0.004841706325655893,9
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.00742872135200223,-0.000464030219650435,10
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.006928630716794913,0.005304842401143447,11
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.006837428999243855,-0.0001967280404197334,12
All,RandomForest,ThomasAM_2018a,0.6982758620689655,Age,covariate,Age,0.006822451334176459,0.006660952161166657,13
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.006591972725604624,0.0026140813645105453,14
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.006514492563772752,0.004402277319080251,15
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.006437597371800204,0.002292147582108766,16
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.00641242704850271,-0.001422983894980543,17
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.006279182777671233,-0.00406584154497625,18
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.006276653513964711,0.004961142091921511,19
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.005507045786955368,0.001224576000263291,20
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.0053244579184709,-0.0020238367904873494,21
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.005281716919067207,0.0043918329044313155,22
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.0052260029664253915,-0.00449301630500975,23
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Coprococcus eutactus,rCLR,Coprococcus eutactus,0.005013832567761529,0.0027448085444942544,24
All,RandomForest,ThomasAM_2018a,0.6982758620689655,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.00491286028574545,-0.0018680253626633427,25
