Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,RandomForest,VogtmannE_2016,0.6865754437869822,PA_Parvimonas micra,PA,Parvimonas micra,0.02965544859741746,-0.012968329027641508,1
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.014623726108909586,-0.005370563981363983,2
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.011465642226914692,0.009247996997603277,3
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.011428909453621069,-0.005450169869155909,4
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.009990627374678833,0.000696338267194179,5
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.009947560454539737,-0.0005715121312184464,6
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.009939643230346027,0.008789328315709104,7
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.009913100150411124,0.001987931665262736,8
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.009037338865599454,0.004034036880371514,9
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.008176393330865915,0.003276895716458878,10
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.007943601867491207,0.0032047481087432725,11
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.0073382625909086795,0.0016062840211851818,12
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.007105326824785906,-0.0037750004474852855,13
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.0069580232140642444,0.0014133284458862688,14
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.006899723910189059,2.692560714835714e-05,15
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.006774249427883345,-0.001132463510847959,16
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.006665894349888042,-0.002860768927689677,17
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.006568694279156402,0.0011425258653013084,18
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.006035740977372169,0.0016255945384303604,19
All,RandomForest,VogtmannE_2016,0.6865754437869822,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.005936517287686423,-0.0034606482322866467,20
